School Name,District Name,School Type,Census Day Enrollment,American Indian or Alaska Native #,Asian #,Asian %,Black or African American #,,Filipino #,Filipino %,Hispanic or Latino #,Hispanic or Latino %,Native Hawaiian or Pac Islander #,Native Hawaiian or Pac Islander %,Two or More Races #,Two or More Races %,None Reported # (School),None %,White #,White %,Free/Reduced Meals %,Suspension Rate,Chronic Absenteeism %,Chronic Absenteeism #,CAASPP-Math Standard Exceeded or Met (Levels 3 and 4),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4)
Achieve Academy,Oakland Unified,Elementary,638,1,13,2.04,17,2.66,10,1.57,576,90.28,2,0.31,3,0.47,0,0,16,2.51,89.8,1.5,9.6,64,31.63,25.31
ACORN Woodland Elementary,Oakland Unified,Elementary,286,0,3,1.05,18,6.29,0,0,256,89.51,0,0,1,0.35,2,0.7,6,2.1,92,0,21,61,42.86,41.3
Alameda Community Learning Center,Alameda Unified,K-12 Schools (Public),351,0,72,20.51,27,7.69,20,5.7,47,13.39,0,0,33,9.4,29,8.26,123,35.04,26.5,3.5,11.3,41,58.6,75
Alameda County Community,Alameda County Office of Education,County Community,133,1,1,0.75,42,31.58,1,0.75,75,56.39,0,0,5,3.76,0,0,8,6.02,85.7,1.5,75.3,207,0,7.14
Alameda High,Alameda Unified,High School,1767,2,678,38.37,89,5.04,108,6.11,223,12.62,10,0.57,109,6.17,9,0.51,539,30.5,21,2.3,8,145,61.75,83.33
Alameda Science and Technology Institute,Alameda Unified,Alternative,192,0,91,47.4,9,4.69,17,8.85,18,9.38,2,1.04,9,4.69,2,1.04,44,22.92,28.7,0.5,5.7,11,89.58,97.92
Albany High,Albany City Unified,High School,1168,1,356,30.48,37,3.17,16,1.37,193,16.52,4,0.34,128,10.96,16,1.37,417,35.7,18.3,0.9,8,94,70.75,80.84
Albany Middle,Albany City Unified,Middle,862,0,231,26.8,26,3.02,8,0.93,152,17.63,2,0.23,129,14.97,30,3.48,284,32.95,22,5.2,4.8,42,70.94,78.55
Alisal Elementary,Pleasanton Unified,Elementary,644,2,257,39.91,4,0.62,14,2.17,70,10.87,0,0,41,6.37,2,0.31,254,39.44,8.2,0.4,1.9,13,69.92,72.19
Allendale Elementary,Oakland Unified,Elementary,401,2,51,12.72,115,28.68,11,2.74,185,46.13,7,1.75,14,3.49,1,0.25,15,3.74,83,0.6,44.6,191,11.3,10.23
Alliance Academy,Oakland Unified,Middle,287,1,9,3.14,47,16.38,1,0.35,216,75.26,7,2.44,2,0.7,1,0.35,3,1.05,95.1,8.7,38.7,126,7.36,18.48
Altamont Creek Elementary,Livermore Valley Joint Unified,Elementary,585,5,120,20.51,10,1.71,14,2.39,123,21.03,1,0.17,48,8.21,0,0,264,45.13,17.1,0.3,2.3,13,62.98,66.92
Alternatives in Action,Alameda Unified,High School,202,1,0,0,12,5.94,0,0,168,83.17,0,0,2,0.99,17,8.42,2,0.99,94.6,9,41.4,84,0,3.7
Alvarado Elementary,New Haven Unified,Elementary,726,4,168,23.14,31,4.27,264,36.36,162,22.31,9,1.24,44,6.06,1,0.14,43,5.92,48.8,0.3,51.6,393,56.87,59.4
Amador Valley High,Pleasanton Unified,High School,2713,3,1078,39.73,29,1.07,61,2.25,222,8.18,4,0.15,103,3.8,1,0.04,1212,44.67,7.5,3.1,4.1,113,70.02,80.67
Amelia Earhart Elementary,Alameda Unified,Elementary,651,1,226,34.72,17,2.61,37,5.68,84,12.9,1,0.15,103,15.82,23,3.53,159,24.42,11.7,1,3.3,22,86.88,83.99
American High,Fremont Unified,High School,2448,5,1508,61.6,76,3.1,234,9.56,200,8.17,12,0.49,87,3.55,0,0,326,13.32,20.1,3.6,6.2,154,70.26,88.68
American Indian Public Charter,Oakland Unified,Junior High,161,0,91,56.52,38,23.6,2,1.24,18,11.18,0,0,2,1.24,0,0,10,6.21,73.9,3.5,2.4,4,66.01,47.44
American Indian Public Charter II,Oakland Unified,Elementary,794,3,376,47.36,266,33.5,4,0.5,90,11.34,3,0.38,10,1.26,2,0.25,40,5.04,75.6,3.5,5.6,45,73.13,62.59
American Indian Public High,Oakland Unified,High School,411,2,222,54.01,95,23.11,5,1.22,62,15.09,1,0.24,1,0.24,0,0,23,5.6,70.6,5.1,14,58,62.96,59.32
Andrew N. Christensen Middle,Livermore Valley Joint Unified,Middle,715,2,83,11.61,16,2.24,23,3.22,172,24.06,3,0.42,66,9.23,0,0,350,48.95,19.4,4.8,0,0,50,68.24
Anna Yates Elementary,Emery Unified,Elementary,534,1,55,10.3,232,43.45,10,1.87,130,24.34,7,1.31,48,8.99,0,0,51,9.55,79.8,2.7,21.8,119,23.29,36.14
Anthony W. Ochoa Middle,Hayward Unified,Middle,588,2,48,8.16,53,9.01,74,12.59,340,57.82,23,3.91,26,4.42,1,0.17,21,3.57,66.7,9.9,11.5,69,33.69,39.35
Ardenwood Elementary,Fremont Unified,Elementary,963,0,734,76.22,14,1.45,48,4.98,53,5.5,4,0.42,20,2.08,5,0.52,85,8.83,10.6,0.3,3.2,32,84.21,85.29
ARISE High,Oakland Unified,High School,317,2,4,1.26,6,1.89,8,2.52,292,92.11,0,0,3,0.95,2,0.63,0,0,71.6,4.8,20.8,68,7.81,66.67
Arroyo High,San Lorenzo Unified,High School,1819,7,351,19.3,127,6.98,207,11.38,859,47.22,25,1.37,42,2.31,6,0.33,195,10.72,49,4.4,10.7,196,35.48,59.47
Arroyo Seco Elementary,Livermore Valley Joint Unified,Elementary,678,0,46,6.78,15,2.21,16,2.36,216,31.86,0,0,69,10.18,2,0.29,314,46.31,23.3,1.6,4.1,27,48.65,59.46
ASCEND,Oakland Unified,Elementary,486,1,5,1.03,14,2.88,2,0.41,455,93.62,0,0,4,0.82,0,0,5,1.03,84.6,1.8,4.9,24,34.08,36.33
Aspire Berkley Maynard Academy,Oakland Unified,Elementary,587,0,11,1.87,330,56.22,3,0.51,184,31.35,0,0,24,4.09,7,1.19,28,4.77,69.4,3.6,17.6,105,37.32,44.61
Aspire College Academy,Oakland Unified,Elementary,286,1,0,0,77,26.92,0,0,188,65.73,1,0.35,5,1.75,14,4.9,0,0,86.3,2.1,9.1,26,26.92,20
Aspire ERES Academy,Oakland Unified,Elementary,237,0,0,0,12,5.06,2,0.84,215,90.72,0,0,3,1.27,5,2.11,0,0,95.7,2.7,16.5,41,22.44,35.26
Aspire Golden State College Preparatory Academy,Oakland Unified,K-12 Schools (Public),618,1,2,0.32,101,16.34,1,0.16,510,82.52,0,0,1,0.16,1,0.16,1,0.16,89,11.8,12.3,77,18.28,37.09
Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,K-12 Schools (Public),525,0,2,0.38,23,4.38,0,0,493,93.9,3,0.57,0,0,4,0.76,0,0,83.4,15.4,5.2,28,25,36.72
Aspire Monarch Academy,Oakland Unified,Elementary,418,0,1,0.24,12,2.87,1,0.24,399,95.45,3,0.72,2,0.48,0,0,0,0,90.2,1.6,11.3,48,48.99,42.93
Aspire Triumph Technology Academy,Oakland Unified,Elementary,284,0,4,1.41,171,60.21,1,0.35,97,34.15,0,0,0,0,10,3.52,1,0.35,95.4,5.9,25.7,78,23.65,30.82
August Schilling Elementary,Newark Unified,Elementary,378,1,18,4.76,5,1.32,26,6.88,304,80.42,4,1.06,12,3.17,0,0,8,2.12,74.8,1.4,6.7,27,22.48,31.94
Aurum Preparatory Academy,Alameda County Office of Education,Junior High,91,0,0,0,45,49.45,0,0,46,50.55,0,0,0,0,0,0,0,0,89,14.9,30.9,30,11.54,12.2
Bancroft Middle,San Leandro Unified,Middle,1055,7,66,6.26,197,18.67,45,4.27,578,54.79,12,1.14,45,4.27,7,0.66,98,9.29,66.5,12.2,13.6,147,19,33.73
Bay Area Technology,Oakland Unified,K-12 Schools (Public),299,3,7,2.34,108,36.12,2,0.67,159,53.18,2,0.67,3,1,1,0.33,14,4.68,53.5,10.6,14.4,46,11.38,22.42
